rank,post_id,title,url,domain,points,author,comments_count,age_text,posted_at,page_number,scraped_at,is_show_hn,is_ask_hn,is_job,is_github_link,is_twitter_link,is_yc_company,github_repo_full_name,github_total_stars,github_stars_before_hn,github_stars_after_hn,github_stars_fetched_at
0,45615245,Nix: Connecting to the Sandbox,https://bmcgee.ie/posts/2025/10/nix-connecting-to-the-sandbox/,bmcgee.ie,1,birdculture,0,2 minutes ago,2025-10-17T12:57:30,0,2025-10-17T13:00:04.976118,False,False,False,False,False,False,,,,,
0,45615237,EVs are depreciating much faster than gas-powered cars,https://restofworld.org/2025/ev-depreciation-blusmart-collapse/,restofworld.org,1,belter,0,3 minutes ago,2025-10-17T12:56:40,0,2025-10-17T13:00:04.976118,False,False,False,False,False,False,,,,,
0,45615230,Perligata: Write Perl in Latin,https://metacpan.org/dist/Lingua-Romana-Perligata/view/lib/Lingua/Romana/Perligata.pm,metacpan.org,2,gmac,0,4 minutes ago,2025-10-17T12:55:14,0,2025-10-17T13:00:04.976118,False,False,False,False,False,False,,,,,
0,45615193,How does one build large front end apps without using a framework like React?,,,4,thepianodan,0,9 minutes ago,2025-10-17T12:50:55,0,2025-10-17T13:00:04.976118,False,False,False,False,False,False,,,,,
0,45615153,A newsletter that mines the internet's complaints for product ideas,https://nvwa.dev,nvwa.dev,1,weilueluo,0,15 minutes ago,2025-10-17T12:44:28,0,2025-10-17T13:00:04.976118,False,False,False,False,False,False,,,,,
0,45615149,Deep learning framework built from the ground up in pure Go,https://github.com/Abinesh-Mathivanan/go-torch,github.com,1,pbd,0,16 minutes ago,2025-10-17T12:43:53,0,2025-10-17T13:00:04.976118,False,False,False,True,False,False,,,,,
0,45615145,Hydrolix – The growing threat of residential criminal proxies (June 2025),https://hydrolix.io/blog/residential-criminal-proxies/,hydrolix.io,1,demetris,0,16 minutes ago,2025-10-17T12:43:08,0,2025-10-17T13:00:04.976118,False,False,False,False,False,False,,,,,
0,45615134,Literal crossed wires sent cops after innocent neighbors in child abuse case,https://www.theregister.com/2025/10/17/crossed_wires_iioc_case/,www.theregister.com,1,jjgreen,0,18 minutes ago,2025-10-17T12:41:18,0,2025-10-17T13:00:04.976118,False,False,False,False,False,False,,,,,
0,45615129,China has found US pain point – rare earths,https://www.bbc.com/news/articles/ckg1jr18z4ko,www.bbc.com,2,belter,0,19 minutes ago,2025-10-17T12:40:13,0,2025-10-17T13:00:04.976118,False,False,False,False,False,False,,,,,
0,45615118,"Spyware accidentally invented October 16, 1995",https://dfarq.homeip.net/spyware-invented-october-16-1995/,dfarq.homeip.net,1,giuliomagnifico,0,21 minutes ago,2025-10-17T12:38:47,0,2025-10-17T13:00:04.976118,False,False,False,False,False,False,,,,,
